Codice comparto;Indirizzo;Carraio;Fronte;Insegna;Anno inizio attivita;Mese inizio attivita;Tipologia merceologica;Descrizione ripartizione;Dettaglio ripartizione;Categoria merceologica;Prevalente;Tipologia locale;Mq tot locale;Mq tot vendita;Tipologia addensamento;Nome addensamento;Sezione censimento;Zona statistica;Numero Circoscrizione;Sezione elettorale;Cap;DO_Y;DO_X
CF;PIAZZA CAMILLO BOZZOLO 8/B;0;0;;2011;10;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;117504;.;80;;NEGOZIO;2246;57;9;0;10126;45.0367346442795;7.67097297866203
CF;PIAZZA CAMILLO BOZZOLO 8/C;0;1;;1988;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Carburanti;S;21828;4;.;;NEGOZIO;2246;57;9;0;10126;45.0368621841122;7.67108378152297
CF;PIAZZA CARIGNANO 2/A;0;0;;2012;4;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;113858;210;90;;NEGOZIO;87;03;1;0;10123;45.069611214394;7.68493414977673
CF;PIAZZA CARIGNANO 8;0;0;;2012;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Librerie;S;119977;100;83;;NEGOZIO;87;03;1;9;10123;45.0690841657433;7.68455389014868
CF;PIAZZA CARLO EMANUELE II 15/B;0;0;;1995;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;18539;47;.;;NEGOZIO;98;03;1;0;10123;45.0659861514976;7.6895082240783
CF;PIAZZA CARLO EMANUELE II 19;1;0;;1995;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;8184;73;.;;NEGOZIO;97;03;1;11;10123;45.066736142955;7.68830016955081
CF;PIAZZA CARLO EMANUELE II 19;1;0;;2010;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Abbigliamento;S;113225;115;100;;NEGOZIO;97;03;1;11;10123;45.066736142955;7.68830016955081
CF;PIAZZA CARLO EMANUELE II 21/G;0;1;;2000;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Quotidiani e periodici;S;23917;14;.;;NEGOZIO;97;03;1;0;10123;45.0667709708263;7.68866697237269
CF;PIAZZA CARLO FELICE 15;0;0;;1990;1;EXTRALIMENTARI;MEDIE STRUTTURE;Medie strutture di vendita;Extralimentari;S;1172;332;.;;NEGOZIO;140;04;1;16;10123;45.0641994809185;7.6804338215742
CF;PIAZZA CARLO FELICE 18;1;0;;1986;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;6964;150;.;N;NEGOZIO;139;04;1;16;10121;45.0644374965801;7.67957179530372
CF;PIAZZA CARLO FELICE 18;1;0;;1986;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Vendita al dettaglio di cose antiche ed usate;S;6964;150;.;N;NEGOZIO;139;04;1;16;10121;45.0644374965801;7.67957179530372
CF;PIAZZA CARLO FELICE 18;1;0;;1999;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;13790;60;.;;NEGOZIO;139;04;1;16;10121;45.0644374965801;7.67957179530372
CF;PIAZZA CARLO FELICE 19;1;0;;2008;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;105379;185;160;N;NEGOZIO;140;04;1;16;10123;45.0641194425408;7.68047011092244
CF;PIAZZA CARLO FELICE 22;0;0;;2011;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;115558;.;.;;;139;04;1;16;10121;45.0644107214967;7.67945547679697
CF;PIAZZA CARLO FELICE 29;0;0;;1991;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Fotografia;S;4266;.;85;N;NEGOZIO;140;04;1;16;10123;45.064011697088;7.6805199015383
CF;PIAZZA CARLO FELICE 33;0;0;;2011;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Articoli pr la casa;S;115278;170;90;;NEGOZIO;140;04;1;16;10123;45.0639461081113;7.68054909125354
CF;PIAZZA CARLO FELICE 35;1;0;;1995;3;EXTRALIMENTARI;MEDIE STRUTTURE;Medie strutture di vendita;Extralimentari;S;876;305;.;;NEGOZIO;140;04;1;16;10123;45.0639104108963;7.68055409146198
CF;PIAZZA CARLO FELICE 36;0;0;;2000;9;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pasticceria;S;13141;257;40;N;NEGOZIO;139;04;1;16;10121;45.0642745854433;7.67922488179182
CF;PIAZZA CARLO FELICE 40;0;0;;2006;11;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;3672;123;110;N;NEGOZIO;148;04;1;16;10121;45.0639061833716;7.6789544189837
CF;PIAZZA CARLO FELICE 40;0;0;;2006;11;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;3672;123;110;N;NEGOZIO;148;04;1;16;10121;45.0639061833716;7.6789544189837
